Variant	A				B				C				D			
57	0.094436	0.502753	1.72988	5.77968	0.222469	1.76211	10.6039	51.5369	0.175795	0.87982	3.09858	10.5976	0.528401	2.37151	8.54831	51.0695
58	0.130664	0.674702	2.10752	8.3463	0.28075	1.32996	4.64562	53.7431	0.299253	1.31178	4.1801	14.08	0.209744	1.12526	4.58117	35.1995
59	0.344751	1.68021	4.92147	14.8691	0.937986	7.40374	21.4985	71.8987	0.628339	3.05514	7.88312	25.6266	0.473899	2.21419	8.57757	55.2578
60	0.114683	0.579698	1.90497	6.24375	0.241585	2.83802	7.9092	50.1741	0.29308	1.33714	3.97273	13.1472	0.448659	2.3101	7.57778	46.0308
61	0.143053	0.603663	1.90839	6.63448	0.339728	2.09307	12.2051	18.911	0.253215	1.03539	3.3935	12.4356	0.675254	3.14553	10.7812	48.7343
62	0.145042	0.696817	2.23288	7.50245	0.197154	2.27106	6.59438	36.6612	0.215982	1.36223	4.35996	14.2764	0.219564	1.37835	5.28424	33.071
63	0.225996	0.979004	2.72958	9.55929	0.158647	1.53461	5.17409	34.3076	0.491982	2.24678	6.82665	20.4038	0.447544	1.99	7.13913	42.79
64	0.301172	1.25712	3.67136	11.9388	0.145583	2.64398	7.83252	68.821	0.368325	1.48832	4.93776	15.9874	0.370679	2.38485	9.13456	55.0493
65	0.329589	1.28484	3.44652	10.5	1.16432	10.8503	66.7904	197.245	0.797222	3.26706	8.46694	23.8317	0.518352	2.41761	7.20414	41.599
66	0.212734	0.887535	2.73625	8.99837	0.326845	2.00994	6.11744	49.2184	0.364062	2.10447	6.88073	22.1853	0.582964	2.66181	13.6272	72.1228
67	0.1678	0.820901	2.33409	7.65751	0.158895	0.810863	3.87346	27.0716	0.375554	1.50905	4.4161	14.1324	0.497204	2.38562	9.78166	54.3658
68	0.117059	0.626085	1.96617	6.50823	0.166586	1.34128	4.89941	19.862	0.256232	1.39457	4.22713	13.7215	0.463877	1.7914	8.31817	47.1792
69	0.148581	0.76148	2.59138	8.43531	0.191962	1.82537	5.36041	19.6119	0.266854	1.34542	4.18591	13.2459	0.398586	1.83714	7.37773	32.8525
70	0.269728	1.08217	2.74262	9.55798	0.342694	2.14103	6.8642	41.303	0.504431	1.96885	5.64467	16.5531	0.435083	1.77299	6.23344	43.215
71	0.110269	0.45219	1.555	4.74768	0.190224	1.64149	4.72438	37.7828	0.23809	1.01567	2.94937	11.3183	0.560376	2.675	8.49901	42.1374
72	0.127491	0.990293	3.58408	10.7984	0.430027	3.984	5.46304	40.1535	0.292808	1.34758	4.24656	13.3224	0.265433	1.25364	5.13773	29.6766
73	0.088119	0.477354	1.85789	6.13059	0.271936	4.13717	6.97417	12.9535	0.319477	1.25015	3.67192	11.4747	0.154827	0.812225	3.28922	31.0097
74	0.11917	0.609142	2.08583	7.35637	0.298144	2.10866	12.1517	73.7496	0.256014	1.45677	4.67433	16.0562	0.506987	2.69122	10.5791	58.578
75	0.178965	0.808302	2.54069	9.05406	0.303371	1.57492	9.31096	38.0359	0.335424	1.25516	3.74585	13.1277	0.533018	2.55223	9.41276	56.3865
76	0.172289	0.641053	1.88224	5.6725	0.152762	1.49219	8.17576	36.7008	0.423242	1.84564	6.07972	19.1425	0.242862	1.19746	5.26406	39.9148
77	0.142193	0.675707	2.09407	7.18823	0.150022	1.38609	12.6623	18.5858	0.283808	1.11486	3.68295	12.6248	0.203922	1.09624	4.20107	31.3274
78	0.092646	0.568213	1.96234	6.93285	0.16424	1.23639	4.91083	8.50114	0.188082	0.890488	2.7541	9.77748	0.375253	1.56881	7.37579	43.4816
79	0.280487	1.12232	3.55233	11.2464	0.765031	4.68602	12.8234	51.0404	0.629211	2.75205	6.90174	19.8547	0.209944	1.18152	4.68581	40.2761
80	0.142209	0.692919	2.22372	7.47455	0.300223	1.73254	4.51203	43.979	0.280745	1.37657	4.40177	13.9553	0.323679	1.27673	5.90669	38.936
81	0.190829	0.838175	2.24659	7.60822	0.383629	3.37669	9.68406	32.7163	0.336884	1.37228	4.10911	13.7973	0.49243	2.62341	8.83769	53.2352
82	0.318165	1.45823	4.21286	12.6647	0.516995	5.10973	19.2706	100.587	0.749863	2.22156	7.39817	21.7785	0.39492	2.23271	6.72861	44.9329
83	0.246633	1.08042	3.18458	10.2306	0.32207	2.05496	6.02267	19.4277	0.59027	2.07849	6.05357	18.6202	0.425731	1.75224	7.47416	47.429
84	0.111073	0.487902	1.55867	5.33414	0.205956	1.70291	6.52264	13.0241	0.222581	0.950575	3.27931	12.707	0.752861	3.32597	11.269	57.9457
85	0.152131	0.594664	2.08965	7.22406	0.246159	2.16709	9.42046	42.6486	0.30204	1.4675	3.43391	13.1919	0.453136	2.37254	8.16507	53.1509
86	0.197473	0.900113	2.67653	8.97658	0.40251	2.83266	16.6492	44.1311	0.318997	1.31436	3.87124	13.5506	0.411127	2.13403	8.3311	48.9685
87	0.097323	0.459645	1.51855	5.51728	0.204869	1.00111	4.20137	12.8516	0.152876	0.787982	2.51751	8.57074	0.504216	2.05868	7.29177	47.343
88	0.134975	0.673037	1.97344	6.74285	0.138454	1.8697	3.20182	23.5011	0.274863	1.12652	3.3074	13.4168	0.436494	2.10985	7.48383	48.1664
89	0.184788	0.890947	2.65315	8.43176	0.320514	2.46006	9.22449	50.8242	0.565268	2.24334	6.87111	21.4388	0.358149	1.59794	5.14232	39.7416
90	0.124459	0.589734	1.82283	6.09444	0.127619	1.4999	3.87673	42.2172	0.33108	1.50193	4.25142	14.5509	0.203935	1.24406	5.11949	37.467
91	0.295842	1.54776	4.4044	13.7275	0.463205	4.76004	7.86117	38.6561	0.6927	3.20498	8.69437	24.935	0.558494	2.76955	9.63853	58.0942
92	0.187175	0.814467	2.51217	8.54267	0.325174	1.65672	16.0528	25.8737	0.418604	1.70585	4.76891	14.7047	0.352942	1.37409	5.36822	39.1982
93	0.11617	0.49424	1.71003	6.08173	0.156095	1.56492	3.2518	39.9063	0.159481	0.625443	2.80655	9.81438	0.552515	2.57081	8.19979	51.5074
94	0.173977	0.798953	2.41633	7.12869	0.461442	2.60361	10.111	67.0845	0.282411	1.47153	4.25954	13.3791	0.644304	3.06972	11.4082	59.7601
95	0.197739	0.98758	2.87952	9.24028	0.543578	4.53512	6.8564	32.5375	0.38877	1.83938	5.40483	15.0852	0.63831	3.23361	9.61966	55.8966
96	0.140424	0.660788	2.01863	6.76324	0.140733	1.77679	5.33375	58.2079	0.3645	1.52784	4.70114	18.259	0.77708	3.78209	13.4559	67.4773
97	0.100619	0.521481	1.60472	5.15296	0.177329	0.857074	5.30655	29.7322	0.213813	0.937324	2.92191	10.3018	0.318411	1.34004	5.09448	35.3569
98	0.098124	0.672698	2.20097	7.50172	0.251794	1.34868	3.06143	30.3335	0.346808	1.57913	4.63517	13.5561	0.446545	2.07363	8.20646	52.05
99	0.152213	0.852241	2.56876	8.23188	0.195233	1.17766	4.2724	21.3616	0.217863	1.28393	4.05935	13.1867	0.593314	2.56543	8.68475	50.4605

